 0.00000E+00
 1.00000E-03 3.12871E-10 1.00000E-30 1.00000E-30 1.00000E-30 3.12871E-10 9.87584E+00
 1.21547E-03 2.60012E-09 1.00000E-30 1.00000E-30 1.00000E-30 2.60012E-09 9.87584E+00
 1.47738E-03 1.95740E-08 1.00000E-30 1.00000E-30 1.00000E-30 1.95740E-08 9.87584E+00
 1.79571E-03 1.33481E-07 1.00000E-30 1.00000E-30 1.00000E-30 1.33481E-07 9.87584E+00
 2.18265E-03 8.24565E-07 1.00000E-30 1.00000E-30 1.00000E-30 8.24565E-07 9.87584E+00
 2.65295E-03 4.61407E-06 1.00000E-30 1.00000E-30 1.00000E-30 4.61407E-06 9.87584E+00
 3.22459E-03 2.33890E-05 1.00000E-30 1.00000E-30 1.00000E-30 2.33890E-05 9.87584E+00
 3.91941E-03 1.07398E-04 1.00000E-30 1.00000E-30 1.00000E-30 1.07398E-04 9.87584E+00
 4.76394E-03 4.46723E-04 1.00000E-30 1.00000E-30 1.00000E-30 4.46723E-04 9.87582E+00
 5.79044E-03 1.68323E-03 1.00000E-30 1.00000E-30 1.00000E-30 1.68323E-03 9.87573E+00
 7.03814E-03 5.74520E-03 1.00000E-30 1.00000E-30 1.00000E-30 5.74520E-03 9.87541E+00
 8.55467E-03 1.77636E-02 1.00000E-30 1.00000E-30 1.00000E-30 1.77636E-02 9.87430E+00
 1.03980E-02 4.97524E-02 1.00000E-30 1.00000E-30 1.00000E-30 4.97524E-02 9.87088E+00
 1.26385E-02 1.26229E-01 1.00000E-30 1.00000E-30 1.00000E-30 1.26229E-01 9.86129E+00
 1.53618E-02 2.90112E-01 1.00000E-30 1.00000E-30 1.00000E-30 2.90112E-01 9.83696E+00
 1.86718E-02 6.03989E-01 1.00000E-30 1.00000E-30 1.00000E-30 6.03989E-01 9.78105E+00
 2.26951E-02 1.13908E+00 1.00000E-30 1.00000E-30 1.00000E-30 1.13908E+00 9.66466E+00
